timestamp,lap,distance,speed,throttle,brake,steering,gear,rpm,x,y,sector,corner,lap_time
0.0,1,0.0,270.745,90.0,0.0,-0.277,8,12500,900.0,0.0,1,Main Straight,92.8
0.133,1,6.009,271.562,98.0,0.0,2.737,8,12500,903.199,5.663,1,Main Straight,92.8
0.266,1,12.017,271.56,100.0,0.0,-1.858,8,12500,906.322,11.324,1,Main Straight,92.8
0.398,1,18.026,274.92,100.0,0.0,1.535,8,12500,909.367,16.984,1,Main Straight,92.8
0.531,1,24.034,272.528,100.0,0.0,-1.05,8,12500,912.329,22.64,1,Main Straight,92.8
0.664,1,30.043,276.438,91.0,0.0,3.077,8,12500,915.206,28.291,1,Main Straight,92.8
0.797,1,36.052,275.121,89.0,0.0,-0.856,8,12500,917.995,33.936,1,Main Straight,92.8
0.929,1,42.06,275.551,98.0,0.0,-0.328,8,12500,920.692,39.575,1,Main Straight,92.8
1.062,1,48.069,276.977,82.0,0.0,-0.069,8,12500,923.295,45.205,1,Main Straight,92.8
1.195,1,54.077,278.22,88.0,0.0,1.665,8,12500,925.801,50.827,1,Main Straight,92.8
1.328,1,60.086,277.52,99.0,0.0,-0.583,8,12500,928.206,56.438,1,Main Straight,92.8
1.46,1,66.094,280.411,91.0,0.0,-2.202,8,12500,930.509,62.037,1,Main Straight,92.8
1.593,1,72.103,279.257,93.0,0.0,-0.011,8,12500,932.705,67.624,1,Main Straight,92.8
1.726,1,78.112,279.077,83.0,0.0,-0.818,8,12500,934.792,73.197,1,Main Straight,92.8
1.859,1,84.12,281.982,89.0,0.0,-3.919,8,12500,936.768,78.756,1,Main Straight,92.8
1.991,1,90.129,281.771,97.0,0.0,0.133,8,12500,938.63,84.299,1,Main Straight,92.8
2.124,1,96.137,283.578,95.0,0.0,1.764,8,12500,940.374,89.824,1,Main Straight,92.8
2.257,1,102.146,285.147,87.0,0.0,-3.673,8,12500,941.999,95.332,1,Main Straight,92.8
2.39,1,108.155,285.507,94.0,0.0,1.318,8,12500,943.501,100.82,1,Main Straight,92.8
2.522,1,114.163,284.866,92.0,0.0,2.114,8,12500,944.879,106.288,1,Main Straight,92.8
2.655,1,120.172,286.793,80.0,0.0,-0.77,8,12500,946.129,111.735,1,Main Straight,92.8
2.788,1,126.18,286.982,80.0,0.0,-0.551,8,12500,947.251,117.16,1,Main Straight,92.8
2.921,1,132.189,288.649,82.0,0.0,1.775,8,12500,948.24,122.561,1,Main Straight,92.8
3.054,1,138.197,289.208,89.0,0.0,2.607,8,12500,949.096,127.938,1,Main Straight,92.8
3.186,1,144.206,287.942,86.0,0.0,-0.618,8,12500,949.815,133.29,1,Main Straight,92.8
3.319,1,150.215,289.643,80.0,0.0,2.33,8,12500,950.396,138.615,1,Main Straight,92.8
3.452,1,156.223,290.31,84.0,0.0,-0.821,8,12500,950.838,143.913,1,Main Straight,92.8
3.585,1,162.232,292.465,82.0,0.0,2.712,8,12500,951.137,149.182,1,Main Straight,92.8
3.717,1,168.24,290.345,93.0,0.0,-0.152,8,12500,951.293,154.423,1,Main Straight,92.8
3.85,1,174.249,293.246,93.0,0.0,1.472,8,12500,951.304,159.633,1,Main Straight,92.8
3.983,1,180.258,298.232,94.0,0.0,-1.841,8,12500,951.167,164.812,1,Main Straight,92.8
4.116,1,186.266,293.562,98.0,0.0,-1.931,8,12500,950.883,169.959,1,Main Straight,92.8
4.248,1,192.275,294.518,99.0,0.0,-0.598,8,12500,950.448,175.073,1,Main Straight,92.8
4.381,1,198.283,297.664,84.0,0.0,1.161,8,12500,949.862,180.153,1,Main Straight,92.8
4.514,1,204.292,294.741,90.0,0.0,-2.99,8,12500,949.124,185.199,1,Main Straight,92.8
4.647,1,210.3,298.531,81.0,0.0,1.647,8,12500,948.233,190.209,1,Main Straight,92.8
4.779,1,216.309,294.435,100.0,0.0,1.785,8,12500,947.187,195.183,1,Main Straight,92.8
4.912,1,222.318,297.544,91.0,0.0,0.629,8,12500,945.987,200.12,1,Main Straight,92.8
5.045,1,228.326,299.109,86.0,0.0,-0.419,8,12500,944.63,205.018,1,Main Straight,92.8
5.178,1,234.335,297.768,99.0,0.0,0.922,8,12500,943.116,209.879,1,Main Straight,92.8
5.31,1,240.343,296.605,85.0,0.0,-2.038,8,12500,941.445,214.699,1,Main Straight,92.8
5.443,1,246.352,295.103,84.0,0.0,0.691,8,12500,939.616,219.48,1,Main Straight,92.8
5.576,1,252.361,297.881,94.0,0.0,1.83,8,12500,937.63,224.22,1,Main Straight,92.8
5.709,1,258.369,299.224,88.0,0.0,-1.14,8,12500,935.485,228.918,1,Main Straight,92.8
5.841,1,264.378,299.359,99.0,0.0,-0.293,8,12500,933.181,233.574,1,Main Straight,92.8
5.974,1,270.386,301.968,82.0,0.0,-2.109,8,12500,930.719,238.187,1,Main Straight,92.8
6.107,1,276.395,299.503,96.0,0.0,-1.985,8,12500,928.099,242.757,1,Main Straight,92.8
6.24,1,282.403,300.801,80.0,0.0,-0.168,8,12500,925.321,247.283,1,Main Straight,92.8
6.373,1,288.412,303.949,100.0,0.0,2.132,8,12500,922.384,251.764,1,Main Straight,92.8
6.505,1,294.421,302.625,83.0,0.0,-0.015,8,12500,919.291,256.2,1,Main Straight,92.8
6.638,1,300.429,302.093,96.0,0.0,-1.378,8,12500,916.04,260.59,1,Main Straight,92.8
